iter	Passed	Remaining
0	178	88857
1	184	46019
2	192	31912
3	197	24510
4	207	20496
5	220	18189
6	230	16218
7	235	14469
8	241	13154
9	249	12234
10	260	11559
11	265	10793
12	274	10281
13	284	9891
14	293	9497
15	299	9072
16	309	8787
17	314	8411
18	320	8108
19	326	7829
20	331	7550
21	340	7398
22	346	7184
23	354	7037
24	359	6838
25	364	6647
26	372	6523
27	377	6371
28	385	6268
29	391	6129
30	401	6080
31	408	5976
32	419	5932
33	442	6065
34	459	6106
35	467	6030
36	472	5918
37	478	5818
38	486	5752
39	493	5670
40	500	5605
41	508	5543
42	515	5476
43	524	5432
44	533	5394
45	542	5353
46	550	5303
47	556	5241
48	565	5209
49	574	5166
50	582	5126
51	588	5068
52	594	5012
53	600	4960
54	608	4921
55	616	4884
56	621	4830
57	632	4819
58	641	4798
59	649	4763
60	659	4745
61	669	4727
62	679	4711
63	686	4676
64	702	4702
65	718	4724
66	733	4739
67	747	4747
68	763	4769
69	776	4769
70	788	4764
71	801	4767
72	816	4777
73	838	4827
74	852	4832
75	868	4844
76	881	4840
77	897	4858
78	907	4836
79	919	4826
80	929	4806
81	939	4788
82	945	4750
83	956	4738
84	963	4703
85	973	4686
86	988	4694
87	998	4676
88	1007	4652
89	1025	4670
90	1039	4672
91	1048	4651
92	1056	4621
93	1061	4582
94	1072	4571
95	1077	4536
96	1084	4505
97	1089	4468
98	1094	4433
99	1100	4402
100	1105	4366
101	1112	4342
102	1119	4315
103	1125	4283
104	1134	4268
105	1140	4239
106	1146	4211
107	1151	4180
108	1156	4146
109	1163	4124
110	1166	4088
111	1170	4055
112	1179	4040
113	1188	4024
114	1200	4019
115	1210	4008
116	1215	3979
117	1226	3972
118	1232	3947
119	1240	3927
120	1247	3905
121	1253	3884
122	1264	3876
123	1271	3854
124	1279	3839
125	1285	3814
126	1294	3801
127	1300	3779
128	1310	3767
129	1315	3743
130	1326	3737
131	1332	3716
132	1340	3699
133	1345	3675
134	1356	3667
135	1364	3652
136	1373	3638
137	1378	3614
138	1384	3595
139	1389	3573
140	1394	3550
141	1398	3525
142	1405	3509
143	1410	3486
144	1414	3462
145	1422	3449
146	1430	3435
147	1440	3426
148	1446	3408
149	1455	3395
150	1462	3379
151	1469	3365
152	1475	3347
153	1483	3333
154	1495	3328
155	1506	3322
156	1519	3320
157	1534	3320
158	1541	3306
159	1549	3293
160	1558	3281
161	1570	3276
162	1577	3260
163	1587	3253
164	1594	3237
165	1602	3224
166	1609	3209
167	1619	3200
168	1625	3183
169	1635	3175
